time(s), x(g), y(g), z(g)
201, -0.04, -0.07, 0.92

504, -0.04, -0.08, 0.91

808, -0.03, -0.08, 0.91

1112, -0.04, -0.08, 0.91

1415, -0.04, -0.08, 0.91

1718, -0.04, -0.08, 0.91

2021, -0.04, -0.08, 0.91

2325, -0.04, -0.08, 0.91

2628, -0.04, -0.07, 0.91

2931, -0.04, -0.08, 0.91

3234, -0.04, -0.08, 0.91

3537, -0.04, -0.07, 0.92

3842, -0.03, -0.08, 0.92

4145, -0.06, -0.07, 0.93

4448, -0.02, -0.07, 0.91

4751, -0.03, -0.07, 0.90

5054, -0.05, -0.07, 0.93

5358, -0.02, -0.07, 0.91

5661, -0.02, -0.08, 0.93

5964, 0.21, -0.10, 0.94

6267, 0.47, -0.25, 0.91

6571, -0.22, -0.06, 0.91

6875, -0.14, 0.04, 1.25

7178, -0.36, 0.08, 0.39

7481, 0.17, -0.18, 0.72

7784, 0.02, -0.09, 1.36

8087, -0.27, 0.04, 0.82

8391, -0.73, 0.15, 0.83

8694, -0.16, -0.03, 1.05

8997, 0.60, -0.29, 0.70

9300, 0.25, -0.08, 0.79

9604, 0.25, -0.00, 0.88

9908, 0.88, 0.15, 0.76

10211, 1.05, 0.24, 0.10

10514, 1.11, 0.20, 0.10

10817, 1.09, 0.21, -0.01

11121, 1.00, 0.24, 0.04

11424, 1.09, 0.23, 0.04

11727, 0.65, 0.20, 0.91

12030, 0.05, 0.03, 0.86

12335, 0.04, 0.00, 0.83

12638, 0.03, 0.00, 0.91

12941, 0.00, 0.00, 0.93

13244, 0.02, -0.03, 0.87

13547, 0.01, -0.03, 0.99

13851, 0.08, -0.04, 0.81

14154, -0.05, -0.04, 0.81

14457, -0.23, 0.04, 1.08

14760, -0.00, 0.09, 0.96

15065, -0.00, 0.07, 0.92

15368, 0.00, 0.09, 0.91

15671, 0.08, 0.10, 0.85

15974, -0.08, 0.20, 0.82

16278, -0.04, 0.24, 0.80

16581, 0.02, 0.25, 0.91

16884, 0.11, 0.25, 0.85

17187, 0.08, 0.25, 0.86

17491, -0.01, 0.25, 0.93

17795, 0.08, 0.25, 0.84

18098, 0.02, 0.23, 0.87

18401, 0.00, -0.26, 0.95

18704, -0.61, 0.23, 0.95

19008, -1.65, 0.67, 0.94

19311, -0.64, 0.34, 0.94

19614, 0.45, 0.11, 0.87

19918, 2.00, -1.09, 0.75

20221, 2.00, -0.43, 0.59

20525, 2.00, -1.04, 0.88

20828, 0.63, -0.02, 1.17

21132, -0.05, 0.02, 0.92

21435, 0.21, -0.06, 0.92

21738, -0.26, -0.04, 0.91

22041, -0.00, -0.08, 0.92

22344, 0.00, -0.08, 0.91

22648, 0.00, -0.08, 0.91

22951, 0.00, -0.08, 0.91

23255, 0.00, -0.08, 0.91

23558, 0.00, -0.08, 0.91

23862, 0.00, -0.08, 0.91

24165, -0.02, -0.09, 0.92

24468, 0.00, -0.09, 0.91

24771, 0.01, -0.08, 0.90

25075, 0.00, -0.09, 0.92

25378, -0.00, -0.09, 0.93

25681, -1.14, 0.25, 0.78

25985, -0.39, 0.46, 0.96

26289, -0.94, 0.32, 0.86

26592, 0.76, 0.04, 0.99

26895, 2.00, -0.73, 0.69

27198, -0.79, -0.01, 0.88

27502, 2.00, -0.28, 1.30

27805, -0.40, 0.57, 1.03

28108, -0.84, 0.05, 0.90

28411, 0.57, 0.08, 0.95

28716, 0.06, -0.08, 0.91

29019, -0.01, -0.08, 0.92

29322, -0.00, -0.09, 0.92

29625, 0.00, -0.09, 0.91

29928, 0.00, -0.09, 0.91

30232, -0.00, -0.08, 0.91

30535, 0.00, -0.08, 0.92

30838, 0.00, -0.09, 0.91

31141, 0.00, -0.09, 0.91

31446, -0.00, -0.08, 0.92

31749, -0.00, -0.09, 0.92

32052, -0.00, -0.08, 0.92

32355, -0.02, -0.09, 0.92

32659, -0.00, -0.09, 0.91

32962, 0.00, -0.09, 0.91

33265, -0.00, -0.09, 0.92

33568, 0.00, -0.08, 0.93

