time(s), x(g), y(g), z(g)
201, 0.02, -1.07, -0.12

254, 0.02, -1.07, -0.12

308, 0.02, -1.07, -0.11

361, 0.02, -1.07, -0.12

414, 0.02, -1.07, -0.12

467, 0.02, -1.07, -0.11

521, 0.02, -1.07, -0.11

575, 0.02, -1.07, -0.12

628, 0.02, -1.07, -0.12

681, 0.02, -1.07, -0.12

735, 0.02, -1.07, -0.11

788, 0.02, -1.07, -0.11

841, 0.02, -1.07, -0.12

894, 0.02, -1.07, -0.12

948, 0.02, -1.07, -0.12

1001, 0.03, -1.07, -0.11

1054, 0.02, -1.07, -0.12

1107, 0.02, -1.07, -0.11

1161, 0.02, -1.06, -0.12

1214, 0.02, -1.07, -0.12

1267, 0.03, -1.07, -0.12

1320, 0.03, -1.07, -0.11

1374, 0.02, -1.07, -0.12

1427, 0.02, -1.07, -0.11

1480, 0.02, -1.07, -0.12

1534, 0.02, -1.07, -0.11

1588, 0.02, -1.07, -0.12

1641, 0.02, -1.07, -0.12

1694, 0.02, -1.07, -0.12

1747, 0.02, -1.07, -0.12

1801, 0.02, -1.07, -0.12

1854, 0.02, -1.07, -0.12

1907, 0.02, -1.07, -0.12

1960, 0.02, -1.07, -0.12

2014, 0.02, -1.07, -0.11

2067, 0.02, -1.07, -0.11

2120, 0.02, -1.07, -0.12

2173, 0.02, -1.07, -0.11

2228, 0.02, -1.07, -0.12

2281, 0.02, -1.07, -0.12

2334, 0.02, -1.07, -0.12

2387, 0.02, -1.07, -0.12

2441, 0.02, -1.07, -0.12

2494, 0.02, -1.07, -0.12

2547, 0.02, -1.07, -0.12

2600, 0.02, -1.07, -0.12

2654, 0.02, -1.07, -0.12

2707, 0.02, -1.07, -0.12

2760, 0.02, -1.07, -0.12

2813, 0.02, -1.07, -0.12

2867, 0.02, -1.07, -0.12

2921, 0.02, -1.07, -0.12

2974, 0.02, -1.07, -0.12

3027, 0.02, -1.07, -0.12

3081, 0.02, -1.07, -0.11

3134, 0.02, -1.07, -0.12

3187, 0.02, -1.07, -0.12

3240, 0.02, -1.07, -0.12

3294, 0.02, -1.07, -0.11

3347, 0.02, -1.07, -0.12

3400, 0.02, -1.07, -0.12

3453, 0.02, -1.07, -0.12

3507, 0.02, -1.07, -0.12

3560, 0.02, -1.07, -0.12

3614, 0.02, -1.07, -0.12

3667, 0.02, -1.07, -0.12

3721, 0.02, -1.07, -0.11

3774, 0.02, -1.07, -0.12

3827, 0.02, -1.07, -0.12

3880, 0.02, -1.07, -0.12

3934, 0.02, -1.07, -0.12

3987, 0.02, -1.07, -0.11

4040, 0.02, -1.07, -0.11

4093, 0.02, -1.07, -0.11

4147, 0.02, -1.07, -0.11

4200, 0.02, -1.07, -0.11

4253, 0.03, -1.07, -0.11

4307, 0.02, -1.07, -0.12

4361, 0.02, -1.07, -0.11

4414, 0.02, -1.07, -0.12

4467, 0.02, -1.07, -0.12

4520, 0.02, -1.07, -0.12

4574, 0.02, -1.07, -0.11

4627, 0.02, -1.07, -0.12

4680, 0.02, -1.07, -0.12

4733, 0.02, -1.07, -0.11

4787, 0.02, -1.07, -0.12

4840, 0.02, -1.07, -0.12

4893, 0.02, -1.07, -0.12

4946, 0.02, -1.07, -0.12

5001, 0.02, -1.07, -0.12

5054, 0.02, -1.07, -0.12

5107, 0.02, -1.07, -0.11

5160, 0.02, -1.07, -0.11

5214, 0.02, -1.07, -0.12

5267, 0.02, -1.07, -0.11

5320, 0.02, -1.07, -0.12

5373, 0.02, -1.07, -0.12

5427, 0.02, -1.07, -0.11

5480, 0.02, -1.07, -0.11

5533, 0.02, -1.07, -0.12

5586, 0.02, -1.07, -0.12

5640, 0.02, -1.07, -0.12

5694, 0.02, -1.07, -0.12

5747, 0.02, -1.07, -0.12

5800, 0.02, -1.07, -0.12

5854, 0.02, -1.07, -0.12

5907, 0.02, -1.07, -0.11

5960, 0.02, -1.07, -0.12

6013, 0.02, -1.07, -0.12

6067, 0.02, -1.07, -0.11

6120, 0.02, -1.06, -0.12

6173, 0.02, -1.07, -0.12

6226, 0.02, -1.07, -0.12

6280, 0.03, -1.07, -0.12

6333, 0.02, -1.07, -0.12

6387, 0.02, -1.07, -0.12

6440, 0.02, -1.07, -0.12

6494, 0.02, -1.07, -0.12

6547, 0.02, -1.07, -0.12

6600, 0.02, -1.07, -0.12

6653, 0.02, -1.07, -0.11

6707, 0.02, -1.07, -0.11

6760, 0.02, -1.07, -0.12

6813, 0.03, -1.07, -0.12

6866, 0.02, -1.07, -0.12

6920, 0.02, -1.07, -0.12

6973, 0.02, -1.07, -0.12

7026, 0.02, -1.07, -0.11

7080, 0.03, -1.07, -0.12

7134, 0.02, -1.07, -0.12

7187, 0.02, -1.07, -0.12

7240, 0.02, -1.07, -0.11

7293, 0.02, -1.07, -0.12

7347, 0.02, -1.07, -0.12

7400, 0.02, -1.07, -0.11

7453, 0.02, -1.07, -0.12

7506, 0.02, -1.07, -0.12

7560, 0.02, -1.07, -0.12

7613, 0.02, -1.07, -0.12

7666, 0.02, -1.07, -0.12

7719, 0.02, -1.07, -0.12

7774, 0.02, -1.07, -0.12

7827, 0.02, -1.07, -0.12

7880, 0.02, -1.07, -0.12

7933, 0.02, -1.07, -0.12

7987, 0.02, -1.07, -0.12

8040, 0.02, -1.07, -0.11

8093, 0.02, -1.07, -0.12

8146, 0.02, -1.07, -0.12

8200, 0.02, -1.07, -0.12

8253, 0.02, -1.07, -0.11

8306, 0.02, -1.07, -0.12

8359, 0.02, -1.07, -0.12

8413, 0.02, -1.07, -0.12

8467, 0.02, -1.07, -0.12

8520, 0.02, -1.07, -0.11

8573, 0.02, -1.07, -0.12

8627, 0.02, -1.07, -0.12

8680, 0.02, -1.07, -0.12

8733, 0.02, -1.07, -0.12

8786, 0.02, -1.07, -0.12

8840, 0.02, -1.07, -0.12

8893, 0.02, -1.07, -0.12

8946, 0.02, -1.07, -0.11

8999, 0.02, -1.07, -0.11

9053, 0.02, -1.07, -0.12

