time(s), x(g), y(g), z(g)
201, 0.02, -1.07, -0.12

254, 0.02, -1.07, -0.13

308, 0.02, -1.07, -0.12

361, 0.02, -1.07, -0.13

414, 0.02, -1.07, -0.12

467, 0.02, -1.07, -0.12

522, 0.01, -1.06, -0.12

575, 0.02, -1.07, -0.13

628, 0.02, -1.06, -0.12

681, 0.02, -1.07, -0.12

735, 0.02, -1.07, -0.12

788, 0.02, -1.07, -0.12

841, 0.02, -1.07, -0.12

894, 0.02, -1.07, -0.13

948, 0.02, -1.07, -0.12

1001, 0.02, -1.07, -0.12

1054, 0.02, -1.07, -0.12

1107, 0.02, -1.07, -0.12

1161, 0.02, -1.07, -0.12

1214, 0.02, -1.07, -0.12

1267, 0.02, -1.07, -0.13

1320, 0.02, -1.07, -0.12

1374, 0.02, -1.07, -0.13

1427, 0.02, -1.07, -0.12

1480, 0.02, -1.07, -0.12

1534, 0.02, -1.07, -0.12

1588, 0.02, -1.07, -0.12

1641, 0.01, -1.07, -0.13

1694, 0.02, -1.07, -0.12

1747, 0.02, -1.07, -0.12

1801, 0.02, -1.07, -0.13

1854, 0.02, -1.07, -0.12

1907, 0.02, -1.07, -0.12

1960, 0.02, -1.07, -0.13

2014, 0.02, -1.07, -0.12

2067, 0.02, -1.06, -0.12

2120, 0.02, -1.07, -0.12

2174, 0.02, -1.07, -0.12

2228, 0.02, -1.07, -0.12

2281, 0.02, -1.07, -0.12

2334, 0.02, -1.07, -0.12

2387, 0.02, -1.07, -0.12

2441, 0.02, -1.06, -0.12

2494, 0.02, -1.07, -0.13

2547, 0.02, -1.07, -0.12

2600, 0.02, -1.07, -0.12

2654, 0.02, -1.07, -0.12

2707, 0.02, -1.07, -0.12

2760, 0.02, -1.07, -0.12

2813, 0.02, -1.07, -0.12

2868, 0.02, -1.06, -0.12

2921, 0.02, -1.06, -0.12

2974, 0.02, -1.07, -0.12

3027, 0.02, -1.07, -0.12

3081, 0.02, -1.07, -0.12

3134, 0.02, -1.07, -0.12

3187, 0.02, -1.07, -0.12

3240, 0.02, -1.07, -0.12

3294, 0.02, -1.07, -0.12

3347, 0.02, -1.07, -0.12

3400, 0.02, -1.06, -0.12

3453, 0.02, -1.07, -0.12

3507, 0.02, -1.07, -0.12

3561, 0.01, -1.06, -0.12

3614, 0.01, -1.06, -0.13

3667, 0.02, -1.07, -0.12

3721, 0.01, -1.06, -0.12

3774, 0.02, -1.07, -0.12

3827, 0.02, -1.07, -0.12

3880, 0.02, -1.07, -0.13

3934, 0.02, -1.07, -0.12

3987, 0.02, -1.06, -0.12

4040, 0.02, -1.07, -0.12

4093, 0.02, -1.07, -0.12

4147, 0.02, -1.07, -0.12

4200, 0.02, -1.07, -0.12

4254, 0.02, -1.07, -0.12

4307, 0.02, -1.07, -0.12

4361, 0.02, -1.07, -0.12

4414, 0.02, -1.07, -0.12

4467, 0.02, -1.07, -0.12

4520, 0.01, -1.06, -0.12

4574, 0.02, -1.07, -0.12

4627, 0.01, -1.07, -0.12

4680, 0.02, -1.07, -0.12

4733, 0.02, -1.07, -0.12

4787, 0.01, -1.07, -0.12

4840, 0.02, -1.07, -0.12

4893, 0.02, -1.07, -0.12

4947, 0.02, -1.07, -0.12

5001, 0.02, -1.07, -0.12

5054, 0.02, -1.07, -0.12

5107, 0.02, -1.07, -0.13

5160, 0.02, -1.07, -0.12

5214, 0.01, -1.06, -0.12

5267, 0.02, -1.07, -0.12

5320, 0.02, -1.07, -0.12

5373, 0.02, -1.07, -0.13

5427, 0.02, -1.07, -0.12

5480, 0.02, -1.07, -0.12

5533, 0.02, -1.07, -0.12

5586, 0.02, -1.07, -0.13

5641, 0.02, -1.07, -0.12

5694, 0.02, -1.07, -0.12

5747, 0.02, -1.06, -0.12

5800, 0.02, -1.07, -0.12

5854, 0.02, -1.06, -0.12

5907, 0.02, -1.07, -0.12

5960, 0.02, -1.07, -0.12

6013, 0.02, -1.07, -0.12

6067, 0.02, -1.07, -0.13

6120, 0.02, -1.07, -0.12

6173, 0.01, -1.07, -0.12

6226, 0.02, -1.07, -0.12

6281, 0.02, -1.07, -0.12

6334, 0.02, -1.06, -0.11

6387, 0.02, -1.07, -0.12

6440, 0.02, -1.06, -0.13

6494, 0.02, -1.07, -0.12

6547, 0.02, -1.07, -0.12

6600, 0.02, -1.07, -0.12

6653, 0.02, -1.06, -0.13

6707, 0.02, -1.07, -0.12

6760, 0.02, -1.07, -0.12

6813, 0.02, -1.07, -0.12

6866, 0.02, -1.07, -0.12

6920, 0.02, -1.07, -0.12

6974, -0.04, -1.03, -0.08

7027, -0.01, -1.02, -0.16

7080, 0.06, -1.03, -0.14

7134, 0.07, -1.06, -0.13

7187, 0.03, -1.09, -0.18

7240, 0.04, -1.12, -0.14

7293, -0.07, -1.06, -0.14

7347, 0.03, -1.05, -0.09

7400, 0.00, -1.03, -0.10

7453, 0.16, -1.09, -0.12

7506, 0.18, -1.08, -0.08

7560, -0.07, -1.07, -0.16

7613, -0.11, -1.04, -0.07

7667, 0.06, -1.07, -0.16

7720, 0.14, -1.09, -0.17

7774, 0.05, -1.07, -0.05

7827, 0.04, -1.05, -0.16

7880, -0.00, -1.06, -0.12

7933, -0.02, -1.07, -0.11

7987, -0.02, -1.06, -0.08

8040, -0.00, -1.05, -0.11

8093, 0.10, -1.05, -0.12

8146, 0.01, -1.07, -0.05

8200, -0.00, -1.05, -0.15

8253, -0.01, -1.05, -0.13

8306, 0.02, -1.04, -0.07

8360, 0.01, -1.11, -0.16

8414, 0.02, -1.06, -0.10

8467, 0.02, -1.05, -0.14

8520, 0.00, -1.07, -0.13

8573, -0.01, -1.10, -0.09

8627, -0.04, -1.05, -0.16

8680, 0.00, -1.07, -0.13

8733, 0.01, -1.06, -0.11

8786, 0.11, -1.09, -0.10

8840, 0.02, -1.05, -0.11

8893, 0.06, -1.05, -0.15

8946, 0.00, -1.10, -0.09

8999, -0.04, -1.05, -0.10

9053, -0.05, -1.06, -0.09

