time(s), x(g), y(g), z(g)
907872, -0.04, -1.07, -0.1
907765, -0.04, -1.07, -0.11

907819, -0.04, -1.07, -0.12

time(s), x(g), y(g), z(g)
201, -0.04, -1.06, -0.11

254, -0.04, -1.06, -0.11

308, -0.04, -1.07, -0.12

361, -0.04, -1.07, -0.11

414, -0.04, -1.07, -0.11

467, -0.04, -1.07, -0.11

522, -0.04, -1.07, -0.11

575, -0.04, -1.06, -0.11

628, -0.04, -1.07, -0.11

681, -0.04, -1.07, -0.11

735, -0.04, -1.07, -0.11

788, -0.04, -1.07, -0.11

841, -0.04, -1.07, -0.11

894, -0.04, -1.07, -0.11

948, -0.04, -1.06, -0.11

1001, -0.04, -1.07, -0.11

1054, -0.05, -1.06, -0.11

1107, -0.04, -1.06, -0.11

1161, -0.04, -1.07, -0.11

1214, -0.04, -1.06, -0.12

1267, -0.04, -1.07, -0.12

1320, -0.04, -1.07, -0.11

1374, -0.04, -1.07, -0.11

1428, -0.04, -1.07, -0.11

1481, -0.04, -1.07, -0.11

1534, -0.04, -1.07, -0.11

1588, -0.04, -1.07, -0.11

1641, -0.04, -1.06, -0.12

1694, -0.04, -1.07, -0.11

1747, -0.04, -1.07, -0.10

1801, -0.05, -1.07, -0.11

1854, -0.04, -1.07, -0.11

1907, -0.04, -1.07, -0.11

1960, -0.04, -1.06, -0.11

2014, -0.04, -1.07, -0.11

2068, -0.04, -1.07, -0.11

2121, -0.04, -1.06, -0.11

2174, -0.04, -1.07, -0.10

2228, -0.04, -1.06, -0.11

2281, -0.04, -1.07, -0.11

2334, -0.04, -1.06, -0.12

2387, -0.04, -1.07, -0.11

2441, -0.04, -1.07, -0.11

2494, -0.04, -1.06, -0.11

2547, -0.04, -1.07, -0.12

2600, -0.04, -1.06, -0.11

2655, -0.04, -1.07, -0.11

2708, -0.04, -1.07, -0.11

2761, -0.04, -1.06, -0.12

2814, -0.04, -1.07, -0.11

2868, -0.04, -1.07, -0.11

2921, -0.04, -1.06, -0.12

2974, -0.04, -1.06, -0.11

3027, -0.04, -1.07, -0.11

3081, -0.04, -1.06, -0.11

3134, -0.04, -1.07, -0.12

3187, -0.04, -1.07, -0.12

3240, -0.05, -1.06, -0.11

3295, -0.04, -1.07, -0.11

3348, -0.04, -1.07, -0.11

3401, -0.04, -1.06, -0.12

3454, -0.04, -1.07, -0.11

3508, -0.04, -1.07, -0.12

3561, -0.04, -1.07, -0.11

3614, -0.04, -1.07, -0.11

3667, -0.04, -1.06, -0.11

3721, -0.04, -1.06, -0.11

3774, -0.04, -1.07, -0.12

3827, -0.04, -1.07, -0.11

3880, -0.04, -1.07, -0.11

3935, -0.04, -1.06, -0.11

3988, -0.04, -1.06, -0.11

4041, -0.04, -1.06, -0.12

4094, -0.04, -1.07, -0.11

4148, -0.04, -1.06, -0.11

4201, -0.04, -1.07, -0.11

4254, -0.04, -1.07, -0.11

4307, -0.04, -1.06, -0.11

4361, -0.04, -1.07, -0.12

4414, -0.04, -1.07, -0.12

4467, -0.04, -1.06, -0.11

4520, -0.04, -1.06, -0.11

4575, -0.04, -1.06, -0.11

4628, -0.04, -1.06, -0.12

4681, -0.04, -1.06, -0.11

4734, -0.04, -1.07, -0.12

4788, -0.04, -1.07, -0.12

4841, -0.04, -1.07, -0.11

4894, -0.04, -1.06, -0.11

4947, -0.04, -1.07, -0.12

5001, -0.04, -1.07, -0.11

5054, -0.04, -1.07, -0.11

5107, -0.04, -1.07, -0.11

5161, -0.04, -1.06, -0.11

5215, -0.04, -1.07, -0.11

5268, -0.04, -1.07, -0.11

5321, -0.04, -1.06, -0.11

5374, -0.04, -1.07, -0.11

5428, -0.04, -1.07, -0.11

5481, -0.04, -1.06, -0.11

5534, -0.04, -1.06, -0.11

5587, -0.04, -1.07, -0.11

5641, -0.04, -1.07, -0.11

5694, -0.04, -1.07, -0.11

5747, -0.04, -1.06, -0.11

5801, -0.04, -1.07, -0.11

5855, -0.04, -1.07, -0.11

5908, -0.04, -1.06, -0.11

5961, -0.04, -1.07, -0.11

6014, -0.04, -1.06, -0.11

6068, -0.04, -1.07, -0.11

6121, -0.04, -1.07, -0.11

6174, -0.04, -1.06, -0.11

6227, -0.04, -1.06, -0.11

6281, -0.04, -1.06, -0.11

6334, -0.04, -1.07, -0.11

6387, -0.04, -1.07, -0.11

6441, -0.04, -1.07, -0.11

6495, -0.04, -1.07, -0.11

6548, -0.04, -1.07, -0.11

6601, -0.04, -1.06, -0.12

6654, -0.04, -1.06, -0.12

6708, -0.04, -1.06, -0.11

6761, -0.04, -1.06, -0.12

6814, -0.04, -1.06, -0.11

6867, -0.04, -1.06, -0.11

6921, -0.02, -1.11, -0.23

6974, 0.10, -1.03, -0.05

7027, 0.42, -1.10, -0.12

7081, -0.04, -1.21, -0.14

7135, 0.05, -1.11, 0.00

7188, 0.08, -1.37, -0.31

7241, -0.11, -1.05, -0.06

7294, -0.21, -1.05, -0.33

7348, -0.04, -1.04, -0.06

7401, -0.21, -1.54, -0.42

7454, 0.57, -0.96, 0.20

7507, -0.57, -0.38, -0.27

7561, 0.04, 0.67, 1.32

7614, -0.91, -1.26, -2.00

7667, 0.43, -0.24, 1.19

7721, 0.07, -1.22, -0.29

7775, -0.57, -0.88, 0.07

7828, 0.05, -1.25, -0.16

7881, -0.17, -1.57, -0.50

7934, -0.15, -1.57, -0.64

7988, -0.20, -1.35, -0.18

8041, -0.76, -1.06, 0.00

8094, 0.02, -0.76, 0.18

8147, -0.05, -1.02, 0.52

8201, -0.39, -0.99, 0.02

8254, -0.20, -0.39, 0.09

8307, 0.12, -0.68, 0.25

8361, 0.02, -0.95, -0.45

8415, -0.18, -1.56, -0.59

8468, 0.31, -0.79, 0.37

8521, -0.04, -1.07, 0.27

8574, -0.39, -1.25, -0.37

8628, 0.01, -1.20, 0.11

8681, -0.43, -1.33, -0.41

8734, 0.39, -1.48, -0.74

8787, 0.25, -0.58, 0.65

8841, -0.37, -1.21, -0.09

8894, 0.34, -0.76, -0.18

8947, 0.22, -1.05, 0.00

9001, -0.40, -1.44, -0.87

9055, -0.08, -0.91, 0.55

9108, 0.43, -0.84, 0.05

9161, -0.52, -1.07, 0.00

9214, -0.17, -0.98, 0.65

9268, -0.25, -1.46, -0.71

9321, 0.30, -0.73, -0.32

9374, -0.31, -0.90, 0.04

9427, -0.17, -1.21, -0.48

9481, 0.27, -1.20, 0.38

9534, -0.39, -1.28, -0.66

9587, 0.44, -1.34, -0.61

9641, 0.22, -0.34, 0.21

9695, -0.71, -0.88, -0.18

9748, -0.31, -0.91, -0.09

9801, -0.21, -0.70, 0.66

9854, -0.50, -1.56, -0.98

9908, 0.50, -0.81, 0.68

9961, -1.03, -0.73, -0.25

10014, -0.30, -1.28, -0.32

10067, -0.11, -0.93, 0.43

10121, -0.63, -1.57, -0.82

10175, -0.41, -1.24, -0.41

10228, 0.56, -0.63, 0.34

10281, -0.04, -1.19, -0.21

10335, 0.07, -0.99, 0.21

10388, 0.43, -1.18, 0.41

10441, 0.16, -1.54, -0.58

10494, -0.12, -0.86, 0.31

10548, -0.20, -0.63, -0.42

10602, 0.21, -0.84, 0.12

10655, -0.37, -0.87, 0.88

10708, 0.02, -1.59, -0.69

10762, 0.57, -0.72, -0.18

10815, -0.10, -0.88, 0.03

10868, -0.18, -1.38, -0.46

10921, 0.40, -0.79, 0.69

10975, -0.21, -1.32, 0.13

11029, -0.15, -1.27, -0.30

11082, -0.24, -0.57, -0.14

11136, -0.21, -1.19, -0.80

11189, 0.39, -1.04, 0.05

11242, -0.29, -0.99, 0.55

11295, 0.20, -1.36, -0.42

11348, -0.14, -0.99, 0.07

11402, 0.08, -1.21, -0.30

11456, 0.76, -1.54, -0.66

11509, 0.46, -0.77, 0.61

11563, 0.25, -1.46, -0.72

11616, 0.38, -0.86, -0.13

11669, -0.25, -0.75, -0.16

11722, -0.22, -1.17, -0.62

11776, 0.63, -0.51, 0.70

11829, 0.45, -0.59, 0.38

11883, -1.17, -1.53, -0.44

11936, -0.14, -1.25, 0.24

