time(s), x(g), y(g), z(g)
201, -0.04, -1.06, -0.11

205, -0.04, -1.07, -0.11

236, -0.04, -1.07, -0.11

275, -0.04, -1.07, -0.11

315, -0.04, -1.07, -0.11

354, -0.04, -1.07, -0.11

394, -0.04, -1.07, -0.11

434, -0.04, -1.07, -0.11

473, -0.04, -1.07, -0.11

513, -0.04, -1.07, -0.12

551, -0.05, -1.07, -0.11

591, -0.04, -1.06, -0.11

631, -0.04, -1.06, -0.11

670, -0.04, -1.07, -0.11

710, -0.04, -1.07, -0.12

749, -0.04, -1.06, -0.11

789, -0.04, -1.06, -0.11

829, -0.04, -1.07, -0.11

868, -0.04, -1.06, -0.11

908, -0.04, -1.06, -0.11

947, -0.04, -1.07, -0.11

987, -0.04, -1.07, -0.11

1026, -0.04, -1.07, -0.11

1067, -0.04, -1.06, -0.11

1107, -0.04, -1.07, -0.12

1147, -0.04, -1.06, -0.11

1188, -0.04, -1.06, -0.11

1229, -0.04, -1.06, -0.11

1269, -0.04, -1.07, -0.12

1310, -0.04, -1.07, -0.11

1350, -0.04, -1.07, -0.11

1391, -0.04, -1.07, -0.11

1432, -0.04, -1.06, -0.11

1472, -0.04, -1.06, -0.11

1513, -0.04, -1.07, -0.11

1553, -0.04, -1.08, -0.11

1594, -0.05, -1.07, -0.12

1635, -0.04, -1.07, -0.11

1675, -0.05, -1.06, -0.11

1716, -0.04, -1.07, -0.11

1756, -0.04, -1.07, -0.11

1797, -0.04, -1.06, -0.11

1838, -0.04, -1.07, -0.12

1878, -0.04, -1.07, -0.11

1918, -0.05, -1.07, -0.11

1959, -0.04, -1.07, -0.11

1999, -0.04, -1.07, -0.12

2040, -0.05, -1.06, -0.11

2080, -0.04, -1.06, -0.12

2121, -0.04, -1.06, -0.11

2162, -0.04, -1.06, -0.11

2202, -0.04, -1.06, -0.11

2243, -0.04, -1.06, -0.11

2283, -0.04, -1.06, -0.12

2324, -0.04, -1.07, -0.11

2365, -0.04, -1.06, -0.11

2405, -0.04, -1.07, -0.11

2446, -0.04, -1.07, -0.11

2486, -0.04, -1.07, -0.11

2527, -0.04, -1.06, -0.11

2568, -0.04, -1.07, -0.12

2608, -0.04, -1.07, -0.12

2649, -0.04, -1.06, -0.12

2689, -0.04, -1.06, -0.11

2729, -0.04, -1.07, -0.11

2770, -0.04, -1.07, -0.11

2810, -0.04, -1.07, -0.11

2851, -0.04, -1.07, -0.11

2892, -0.04, -1.07, -0.11

